Education Level,Specialization,Skills,Certifications,CGPA/Percentage,Recommended Career,combined_text
Master's,Science,Communication,Google Data Analytics,72,Business Analyst,Master's Science Communication Google Data Analytics
Master's,Finance,Machine Learning,Creative Writing,75,Research Scientist,Master's Finance Machine Learning Creative Writing
Intermediate,Business,"MS Office, Communication, Financial Analysis",Tally ERP,64,Software Engineer,"Intermediate Business MS Office, Communication, Financial Analysis Tally ERP"
Matric,Psychology,"Financial Analysis, Accounting",Mental Health Basics,60,Business Analyst,"Matric Psychology Financial Analysis, Accounting Mental Health Basics"
Bachelor's,Computer Science,Counseling,AWS Certified,68,ML Engineer,Bachelor's Computer Science Counseling AWS Certified
PhD,Psychology,MS Office,Digital Marketing,75,ML Engineer,PhD Psychology MS Office Digital Marketing
Intermediate,Finance,"SQL, Data Analysis",,67,Business Analyst,
PhD,Computer Science,"Python, Accounting, Data Analysis",Mental Health Basics,69,Research Scientist,"PhD Computer Science Python, Accounting, Data Analysis Mental Health Basics"
Master's,Science,Marketing,,63,Software Engineer,
Matric,Engineering,SQL,Google Data Analytics,85,Software Engineer,Matric Engineering SQL Google Data Analytics
Matric,Psychology,"Accounting, Machine Learning",CFA Level 1,92,Software Engineer,"Matric Psychology Accounting, Machine Learning CFA Level 1"
PhD,Commerce,"Financial Analysis, MS Office, Counseling",,92,Software Engineer,
Matric,Arts,"Python, MS Office",,73,ML Engineer,
Intermediate,Business,Machine Learning,AWS Certified,95,Business Analyst,Intermediate Business Machine Learning AWS Certified
PhD,Arts,"Machine Learning, Marketing, Counseling",Tally ERP,91,ML Engineer,"PhD Arts Machine Learning, Marketing, Counseling Tally ERP"
Matric,Commerce,"MS Office, Machine Learning",CFA Level 1,87,Research Scientist,"Matric Commerce MS Office, Machine Learning CFA Level 1"
Master's,Computer Science,"Accounting, Counseling, MS Office",Mental Health Basics,78,ML Engineer,"Master's Computer Science Accounting, Counseling, MS Office Mental Health Basics"
Master's,Finance,Counseling,Mental Health Basics,60,Software Engineer,Master's Finance Counseling Mental Health Basics
Bachelor's,Psychology,"Python, Communication, Marketing",Mental Health Basics,65,Research Scientist,"Bachelor's Psychology Python, Communication, Marketing Mental Health Basics"
Intermediate,Commerce,Python,Mental Health Basics,84,Business Analyst,Intermediate Commerce Python Mental Health Basics
Matric,Business,"Financial Analysis, SQL, Accounting",Google Data Analytics,94,Software Engineer,"Matric Business Financial Analysis, SQL, Accounting Google Data Analytics"
Bachelor's,Finance,Communication,Tally ERP,87,Business Analyst,Bachelor's Finance Communication Tally ERP
PhD,Science,SQL,CFA Level 1,75,ML Engineer,PhD Science SQL CFA Level 1
PhD,Psychology,"MS Office, Financial Analysis, Data Analysis",Digital Marketing,94,ML Engineer,"PhD Psychology MS Office, Financial Analysis, Data Analysis Digital Marketing"
Master's,Commerce,"Counseling, Accounting",Google Data Analytics,94,Research Scientist,"Master's Commerce Counseling, Accounting Google Data Analytics"
PhD,Finance,"Financial Analysis, MS Office, SQL",Mental Health Basics,86,Research Scientist,"PhD Finance Financial Analysis, MS Office, SQL Mental Health Basics"
Matric,Engineering,Counseling,Google Data Analytics,92,Business Analyst,Matric Engineering Counseling Google Data Analytics
Matric,Engineering,"Counseling, Accounting, Data Analysis",AWS Certified,60,Software Engineer,"Matric Engineering Counseling, Accounting, Data Analysis AWS Certified"
Intermediate,Arts,Accounting,Creative Writing,71,Software Engineer,Intermediate Arts Accounting Creative Writing
Bachelor's,Computer Science,"Marketing, Accounting, SQL",Digital Marketing,76,Business Analyst,"Bachelor's Computer Science Marketing, Accounting, SQL Digital Marketing"
Master's,Business,"Data Analysis, Counseling, SQL",Google Data Analytics,60,ML Engineer,"Master's Business Data Analysis, Counseling, SQL Google Data Analytics"
Intermediate,Science,Data Analysis,CFA Level 1,89,ML Engineer,Intermediate Science Data Analysis CFA Level 1
Master's,Science,Python,Google Data Analytics,70,Business Analyst,Master's Science Python Google Data Analytics
Bachelor's,Science,MS Office,CFA Level 1,60,Business Analyst,Bachelor's Science MS Office CFA Level 1
Master's,Arts,Financial Analysis,Creative Writing,69,ML Engineer,Master's Arts Financial Analysis Creative Writing
PhD,Arts,"Communication, Financial Analysis",,68,Research Scientist,
Matric,Science,"Marketing, MS Office",Creative Writing,92,ML Engineer,"Matric Science Marketing, MS Office Creative Writing"
Matric,Science,Financial Analysis,Creative Writing,87,ML Engineer,Matric Science Financial Analysis Creative Writing
PhD,Science,"Data Analysis, MS Office",AWS Certified,79,Research Scientist,"PhD Science Data Analysis, MS Office AWS Certified"
PhD,Arts,"Communication, Machine Learning",Mental Health Basics,84,ML Engineer,"PhD Arts Communication, Machine Learning Mental Health Basics"
Bachelor's,Science,"MS Office, Machine Learning, SQL",AWS Certified,93,Software Engineer,"Bachelor's Science MS Office, Machine Learning, SQL AWS Certified"
PhD,Business,"Financial Analysis, Python, MS Office",Mental Health Basics,91,Software Engineer,"PhD Business Financial Analysis, Python, MS Office Mental Health Basics"
PhD,Commerce,"Python, Marketing, SQL",Tally ERP,73,Business Analyst,"PhD Commerce Python, Marketing, SQL Tally ERP"
Matric,Science,"Data Analysis, Counseling",CFA Level 1,83,Software Engineer,"Matric Science Data Analysis, Counseling CFA Level 1"
Intermediate,Business,Marketing,CFA Level 1,60,Software Engineer,Intermediate Business Marketing CFA Level 1
PhD,Engineering,"Marketing, Data Analysis, Counseling",AWS Certified,76,Research Scientist,"PhD Engineering Marketing, Data Analysis, Counseling AWS Certified"
Master's,Computer Science,"Accounting, Data Analysis",Tally ERP,61,Research Scientist,"Master's Computer Science Accounting, Data Analysis Tally ERP"
Bachelor's,Commerce,Marketing,Mental Health Basics,82,Business Analyst,Bachelor's Commerce Marketing Mental Health Basics
Master's,Finance,"Data Analysis, Python, SQL",Creative Writing,80,ML Engineer,"Master's Finance Data Analysis, Python, SQL Creative Writing"
Master's,Commerce,"Counseling, Python, Machine Learning",Google Data Analytics,62,ML Engineer,"Master's Commerce Counseling, Python, Machine Learning Google Data Analytics"
Matric,Computer Science,"Machine Learning, Counseling",Mental Health Basics,66,Business Analyst,"Matric Computer Science Machine Learning, Counseling Mental Health Basics"
Master's,Computer Science,Counseling,,72,Research Scientist,
Intermediate,Arts,"Communication, Marketing, SQL",CFA Level 1,83,ML Engineer,"Intermediate Arts Communication, Marketing, SQL CFA Level 1"
PhD,Computer Science,"Accounting, Marketing, Python",CFA Level 1,92,ML Engineer,"PhD Computer Science Accounting, Marketing, Python CFA Level 1"
PhD,Computer Science,Counseling,,90,ML Engineer,
Matric,Finance,"Marketing, SQL, Communication",AWS Certified,90,Business Analyst,"Matric Finance Marketing, SQL, Communication AWS Certified"
PhD,Finance,"Data Analysis, MS Office, Accounting",Mental Health Basics,82,Business Analyst,"PhD Finance Data Analysis, MS Office, Accounting Mental Health Basics"
Matric,Commerce,"Data Analysis, MS Office, Machine Learning",Creative Writing,91,Research Scientist,"Matric Commerce Data Analysis, MS Office, Machine Learning Creative Writing"
Intermediate,Science,Accounting,,92,Research Scientist,
Intermediate,Commerce,"Python, SQL, Financial Analysis",CFA Level 1,81,Business Analyst,"Intermediate Commerce Python, SQL, Financial Analysis CFA Level 1"
Matric,Computer Science,"Marketing, Machine Learning, SQL",Digital Marketing,75,Business Analyst,"Matric Computer Science Marketing, Machine Learning, SQL Digital Marketing"
Bachelor's,Engineering,"Python, Marketing",Digital Marketing,77,Research Scientist,"Bachelor's Engineering Python, Marketing Digital Marketing"
Master's,Business,SQL,Google Data Analytics,75,ML Engineer,Master's Business SQL Google Data Analytics
Master's,Finance,"Counseling, Accounting, SQL",,61,Research Scientist,
Master's,Commerce,"SQL, Data Analysis, Counseling",,63,Business Analyst,
Master's,Psychology,Accounting,Digital Marketing,86,Research Scientist,Master's Psychology Accounting Digital Marketing
Matric,Science,"Counseling, Python",Google Data Analytics,65,Research Scientist,"Matric Science Counseling, Python Google Data Analytics"
Matric,Finance,SQL,AWS Certified,90,Business Analyst,Matric Finance SQL AWS Certified
Master's,Commerce,"Accounting, Communication",Tally ERP,60,ML Engineer,"Master's Commerce Accounting, Communication Tally ERP"
Master's,Arts,SQL,Mental Health Basics,64,Software Engineer,Master's Arts SQL Mental Health Basics
Master's,Computer Science,Marketing,AWS Certified,60,Software Engineer,Master's Computer Science Marketing AWS Certified
PhD,Psychology,"SQL, Communication",Google Data Analytics,60,Software Engineer,"PhD Psychology SQL, Communication Google Data Analytics"
Master's,Finance,"Marketing, Financial Analysis",Google Data Analytics,84,Research Scientist,"Master's Finance Marketing, Financial Analysis Google Data Analytics"
Intermediate,Finance,"Marketing, Python",,85,ML Engineer,
Bachelor's,Engineering,Python,CFA Level 1,89,Software Engineer,Bachelor's Engineering Python CFA Level 1
Matric,Engineering,"Data Analysis, Communication, Accounting",Digital Marketing,70,Research Scientist,"Matric Engineering Data Analysis, Communication, Accounting Digital Marketing"
Matric,Science,"Accounting, Financial Analysis",Mental Health Basics,80,Research Scientist,"Matric Science Accounting, Financial Analysis Mental Health Basics"
Matric,Engineering,"Data Analysis, SQL",Google Data Analytics,75,Research Scientist,"Matric Engineering Data Analysis, SQL Google Data Analytics"
Master's,Computer Science,SQL,CFA Level 1,61,Software Engineer,Master's Computer Science SQL CFA Level 1
Matric,Finance,"MS Office, Counseling",Mental Health Basics,65,Business Analyst,"Matric Finance MS Office, Counseling Mental Health Basics"
Intermediate,Science,"Python, Data Analysis, Accounting",Creative Writing,70,Software Engineer,"Intermediate Science Python, Data Analysis, Accounting Creative Writing"
Matric,Science,"Accounting, MS Office",Tally ERP,81,ML Engineer,"Matric Science Accounting, MS Office Tally ERP"
PhD,Finance,Marketing,AWS Certified,66,Software Engineer,PhD Finance Marketing AWS Certified
Intermediate,Psychology,Data Analysis,Tally ERP,61,Business Analyst,Intermediate Psychology Data Analysis Tally ERP
Bachelor's,Business,"Financial Analysis, Counseling, MS Office",Google Data Analytics,67,Research Scientist,"Bachelor's Business Financial Analysis, Counseling, MS Office Google Data Analytics"
Bachelor's,Business,"Accounting, Counseling",,82,ML Engineer,
Intermediate,Computer Science,"Marketing, Accounting, Data Analysis",AWS Certified,91,Research Scientist,"Intermediate Computer Science Marketing, Accounting, Data Analysis AWS Certified"
Intermediate,Finance,SQL,Google Data Analytics,81,ML Engineer,Intermediate Finance SQL Google Data Analytics
Master's,Science,MS Office,Google Data Analytics,83,Research Scientist,Master's Science MS Office Google Data Analytics
Master's,Psychology,Data Analysis,Mental Health Basics,65,Business Analyst,Master's Psychology Data Analysis Mental Health Basics
PhD,Science,"Machine Learning, SQL",AWS Certified,66,ML Engineer,"PhD Science Machine Learning, SQL AWS Certified"
Matric,Finance,"Financial Analysis, Communication, Marketing",Digital Marketing,75,ML Engineer,"Matric Finance Financial Analysis, Communication, Marketing Digital Marketing"
PhD,Psychology,Data Analysis,Tally ERP,61,Research Scientist,PhD Psychology Data Analysis Tally ERP
Bachelor's,Engineering,"Marketing, Accounting, Machine Learning",AWS Certified,81,ML Engineer,"Bachelor's Engineering Marketing, Accounting, Machine Learning AWS Certified"
Bachelor's,Business,"Machine Learning, Marketing",CFA Level 1,70,Software Engineer,"Bachelor's Business Machine Learning, Marketing CFA Level 1"
PhD,Commerce,"Machine Learning, Communication, Data Analysis",Tally ERP,76,Research Scientist,"PhD Commerce Machine Learning, Communication, Data Analysis Tally ERP"
PhD,Science,"SQL, Financial Analysis, Data Analysis",Google Data Analytics,78,Software Engineer,"PhD Science SQL, Financial Analysis, Data Analysis Google Data Analytics"
Master's,Science,"Accounting, Data Analysis, SQL",,90,ML Engineer,
Master's,Business,"SQL, Financial Analysis, Marketing",Mental Health Basics,72,Research Scientist,"Master's Business SQL, Financial Analysis, Marketing Mental Health Basics"
Master's,Computer Science,"Machine Learning, SQL",Mental Health Basics,86,ML Engineer,"Master's Computer Science Machine Learning, SQL Mental Health Basics"
Matric,Computer Science,"Counseling, Python, Accounting",AWS Certified,81,Research Scientist,"Matric Computer Science Counseling, Python, Accounting AWS Certified"
Bachelor's,Psychology,Financial Analysis,Google Data Analytics,71,ML Engineer,Bachelor's Psychology Financial Analysis Google Data Analytics
Master's,Engineering,"Data Analysis, SQL, Marketing",,89,ML Engineer,
PhD,Engineering,"Machine Learning, Communication, MS Office",CFA Level 1,93,Research Scientist,"PhD Engineering Machine Learning, Communication, MS Office CFA Level 1"
Master's,Engineering,"Financial Analysis, Accounting",Mental Health Basics,69,Business Analyst,"Master's Engineering Financial Analysis, Accounting Mental Health Basics"
Intermediate,Computer Science,"Marketing, Accounting, Python",AWS Certified,65,Software Engineer,"Intermediate Computer Science Marketing, Accounting, Python AWS Certified"
PhD,Psychology,"Communication, Data Analysis",Digital Marketing,70,Business Analyst,"PhD Psychology Communication, Data Analysis Digital Marketing"
Intermediate,Business,"Communication, Financial Analysis",,72,Business Analyst,
Matric,Psychology,Communication,Digital Marketing,90,Research Scientist,Matric Psychology Communication Digital Marketing
